Region,Comuna,Apruebo,Rechazo,Total,Apruebo_per,Rechazo_per
LIB. GRAL. BERNARDO O'HIGGINS,PALMILLA,3500,822,4322,80.98102730217492,19.01897269782508
LIB. GRAL. BERNARDO O'HIGGINS,PAREDONES,1974,467,2441,80.86849651782056,19.131503482179436
LIB. GRAL. BERNARDO O'HIGGINS,PERALILLO,3608,911,4519,79.84067271520247,20.15932728479752
LIB. GRAL. BERNARDO O'HIGGINS,PEUMO,5355,843,6198,86.39883833494676,13.601161665053244
LIB. GRAL. BERNARDO O'HIGGINS,PICHIDEGUA,5350,1080,6430,83.20373250388803,16.796267496111973
LIB. GRAL. BERNARDO O'HIGGINS,PICHILEMU,6173,1407,7580,81.43799472295514,18.562005277044854
LIB. GRAL. BERNARDO O'HIGGINS,PLACILLA,3222,703,3925,82.08917197452229,17.910828025477706
LIB. GRAL. BERNARDO O'HIGGINS,PUMANQUE,1222,342,1564,78.13299232736573,21.86700767263427
LIB. GRAL. BERNARDO O'HIGGINS,QUINTA DE TILCOCO,5504,929,6433,85.55883724545313,14.441162754546868
LIB. GRAL. BERNARDO O'HIGGINS,RANCAGUA,87526,19154,106680,82.0453693288339,17.954630671166104
LIB. GRAL. BERNARDO O'HIGGINS,RENGO,20433,4264,24697,82.7347451107422,17.265254889257804
LIB. GRAL. BERNARDO O'HIGGINS,REQUINOA,9428,2589,12017,78.45552134476159,21.54447865523841
LIB. GRAL. BERNARDO O'HIGGINS,SAN FERNANDO,26045,7134,33179,78.49844781337593,21.50155218662407
LIB. GRAL. BERNARDO O'HIGGINS,SAN VICENTE,16379,3426,19805,82.70133804594799,17.298661954052008
LIB. GRAL. BERNARDO O'HIGGINS,SANTA CRUZ,10240,3232,13472,76.00950118764845,23.990498812351543
LOS LAGOS,ANCUD,11694,2565,14259,82.01136124552913,17.98863875447086
LOS LAGOS,CALBUCO,8760,2386,11146,78.59321729768527,21.40678270231473
LOS LAGOS,CASABLANCA,9148,2292,11440,79.96503496503496,20.034965034965037
LOS LAGOS,CERRO NAVIA,55908,7812,63720,87.74011299435028,12.259887005649718
LOS LAGOS,CHOLCHOL,2951,1197,4148,71.14271938283511,28.8572806171649
LOS LAGOS,COBQUECURA,1595,459,2054,77.65335929892892,22.34664070107108
LOS LAGOS,CURACAVI,11713,2970,14683,79.77252605053464,20.22747394946537
LOS LAGOS,DALCAHUE,3344,634,3978,84.0623428858723,15.9376571141277
LOS LAGOS,FRESIA,3166,1479,4645,68.15931108719053,31.840688912809473
LOS LAGOS,FRUTILLAR,5185,2674,7859,65.97531492556304,34.02468507443695
LOS LAGOS,FUTALEUFU,630,330,960,65.625,34.375
LOS LAGOS,HUALAIHUE,2325,524,2849,81.60758160758161,18.392418392418392
LOS LAGOS,LLAILLAY,10284,1275,11559,88.96963405138852,11.030365948611472
LOS LAGOS,LOS MUERMOS,2780,2283,5063,54.9081572190401,45.09184278095991
LOS LAGOS,MAULLIN,3418,1633,5051,67.66976836270045,32.33023163729955
LOS LAGOS,OSORNO,51593,18281,69874,73.83719266107565,26.16280733892435
LOS LAGOS,PALENA,422,202,624,67.62820512820514,32.371794871794876
LOS LAGOS,PUERTO MONTT,65342,22337,87679,74.52411637906454,25.47588362093546
LOS LAGOS,PUERTO OCTAY,2623,945,3568,73.5145739910314,26.48542600896861
LOS LAGOS,PUERTO VARAS,14005,7734,21739,64.42338654031924,35.57661345968076
LOS LAGOS,PUQUELDON,1051,130,1181,88.99237933954277,11.00762066045724
LOS LAGOS,PURRANQUE,5168,2655,7823,66.06161319187012,33.93838680812987
LOS LAGOS,PUYEHUE,3208,1432,4640,69.13793103448276,30.862068965517242
LOS LAGOS,QUEILEN,1320,168,1488,88.70967741935483,11.29032258064516
LOS LAGOS,QUELLON,6745,1804,8549,78.89811673879986,21.10188326120014
LOS LAGOS,QUEMCHI,1922,377,2299,83.6015658982166,16.398434101783383
LOS LAGOS,QUINCHAO,2536,416,2952,85.90785907859079,14.092140921409213
LOS LAGOS,RIO NEGRO,3522,1606,5128,68.68174726989079,31.318252730109204
LOS LAGOS,SAN JUAN DE LA COSTA,2530,613,3143,80.49634107540567,19.503658924594337
LOS LAGOS,SAN PABLO,2941,1111,4052,72.58144126357354,27.41855873642646
LOS RÍOS,CORONEL,33463,10538,44001,76.05054430581123,23.949455694188767
LOS RÍOS,FUTRONO,3464,2184,5648,61.331444759206796,38.668555240793204
LOS RÍOS,LA UNION,10748,4063,14811,72.56768617919114,27.432313820808858
LOS RÍOS,LAGO RANCO,2093,1208,3301,63.40502877915783,36.59497122084217
LOS RÍOS,LANCO,5084,1561,6645,76.50865312264861,23.491346877351393
LOS RÍOS,LOS LAGOS,5399,2050,7449,72.47952745334945,27.52047254665056
LOS RÍOS,MAFIL,2049,785,2834,72.30063514467184,27.699364855328156
LOS RÍOS,MARIQUINA,5934,1783,7717,76.89516651548529,23.104833484514707
LOS RÍOS,PAILLACO,5434,2188,7622,71.29362372080818,28.706376279191815
LOS RÍOS,PANGUIPULLI,8572,3697,12269,69.86714483658,30.132855163420004
LOS RÍOS,RIO BUENO,7935,3610,11545,68.73105240363793,31.26894759636206
LOS RÍOS,VALDIVIA,58608,16167,74775,78.37913741223672,21.62086258776329
MAGALLANES Y ANTÁRTICA CHILENA,ANTARTICA,10,21,31,32.25806451612903,67.74193548387096
MAGALLANES Y ANTÁRTICA CHILENA,CABO DE HORNOS(EX-NAVARINO),375,269,644,58.22981366459628,41.77018633540372
MAGALLANES Y ANTÁRTICA CHILENA,LAGUNA BLANCA,139,62,201,69.15422885572139,30.845771144278604
MAGALLANES Y ANTÁRTICA CHILENA,NANCAGUA,5840,1187,7027,83.10801195389213,16.89198804610787
MAGALLANES Y ANTÁRTICA CHILENA,PORVENIR,1539,350,1889,81.47167813658021,18.5283218634198
MAGALLANES Y ANTÁRTICA CHILENA,PRIMAVERA,218,35,253,86.16600790513834,13.83399209486166
MAGALLANES Y ANTÁRTICA CHILENA,PUNTA ARENAS,42929,10999,53928,79.60428719774514,20.39571280225486
MAGALLANES Y ANTÁRTICA CHILENA,RIO VERDE,124,58,182,68.13186813186813,31.868131868131865
MAGALLANES Y ANTÁRTICA CHILENA,SAN GREGORIO,130,74,204,63.725490196078425,36.27450980392157
MAGALLANES Y ANTÁRTICA CHILENA,TIMAUKEL,63,30,93,67.74193548387096,32.25806451612903
MAGALLANES Y ANTÁRTICA CHILENA,TORRES DEL PAINE,472,114,586,80.54607508532423,19.453924914675767
MAULE,CATEMU,5199,711,5910,87.96954314720811,12.030456852791877
MAULE,CHAÑARAL,5185,544,5729,90.50445103857567,9.495548961424333
MAULE,COINCO,2616,701,3317,78.86644558335846,21.13355441664154
MAULE,CONCON,15705,8573,24278,64.6881950737293,35.311804926270696
MAULE,CURARREHUE,1740,891,2631,66.1345496009122,33.8654503990878
MAULE,CUREPTO,2793,736,3529,79.14423349390762,20.855766506092376
